title,url,category,technologies,english,experience
Lead Python Engineer,https://djinni.co/jobs/488990-lead-python-engineer/,Python,"['Python', 'AWS', 'Boto3', 'Django', 'My SQL']",Upper-Intermediate,5
ML Platform Engineer,https://djinni.co/jobs/465894-ml-platform-engineer/,Python,"['Machine Learning', 'AWS', 'Python']",Intermediate,5
Senior/Tech Lead Python Engineer,https://djinni.co/jobs/373911-senior-tech-lead-python-engineer/,Python,"['Python', 'Apache Spark', 'Airflow']",Upper-Intermediate,5
Senior Python Software Engineer,https://djinni.co/jobs/488803-senior-python-software-engineer/,Python,"['Python', 'AWS']",Upper-Intermediate,3
"Middle/Senior Python Developer (Poland)
          

          

          
  
    
      $3500-7500",https://djinni.co/jobs/488957-middle-senior-python-developer-poland-/,Python,,Upper-Intermediate,3
"Software Engineer
          

          

          
  
    
      $4500-5700",https://djinni.co/jobs/476060-software-engineer/,Python,"['Python', 'Software Engineer', 'Computer Science', 'Jenkins', 'AWS', 'DevOps', 'Linux']",Upper-Intermediate,5
Back-End Software Engineer (Python),https://djinni.co/jobs/488912-back-end-software-engineer-python-/,Python,"['Azure', 'Python', 'Flask']",Upper-Intermediate,3
"FullStack Developer, Insurance Services",https://djinni.co/jobs/488900-fullstack-developer-insurance-services/,Python,"['Python', 'JavaScript', 'JavaScript', 'NodeJS', 'Node.js']",Intermediate,3
"Python Developer (Czech Republic)
          

          

          
  
    
      $6500-7500",https://djinni.co/jobs/488796-python-developer-czech-republic-/,Python,"['Python', 'Django REST Framework', 'Django', 'algorithms', 'Algorithms and Data Structures', 'Security']",Upper-Intermediate,5
Fullstack (Python+React.js) Developer,https://djinni.co/jobs/488789-fullstack-python-react-js-developer/,Python,"['Python', 'React', 'Full-stack Web Development']",Intermediate,3
Python Developer,https://djinni.co/jobs/446111-python-developer/,Python,"['Djagno', 'Django REST Framework', 'Flask', 'Python']",Intermediate,0
Python/Data Modelling Developer - Poland or Relocation to Poland,https://djinni.co/jobs/488752-python-data-modelling-developer-poland-or-rel/,Python,['Python'],Advanced/Fluent,3
Machine Learning Engineer,https://djinni.co/jobs/460591-machine-learning-engineer/,Python,,Intermediate,3
"Python/Django Developer
          

          

          
  
    
      $1500-2500",https://djinni.co/jobs/442594-python-django-developer/,Python,"['Python', 'Django', 'Django REST Framework', 'Elasctisearch', 'Design Patterns', 'SOLID', 'OOP', 'SQL', 'SQLite', 'MySQL', 'PostgreSQL', 'SQLAlchemy']",Beginner/Elementary,3
"Python Developer with JavaScript Experience, Cloud Service Business Solutions",https://djinni.co/jobs/486384-python-developer-with-javascript-experience-c/,Python,,Intermediate,3
"Senior Python Developer, Financial Software Solutions",https://djinni.co/jobs/486385-senior-python-developer-financial-software-so/,Python,,Intermediate,5
